,precision,recall,f1-score,support
NON_ENCRYPTED,0.9979092702169625,0.9970832840644831,0.9974961061493267,25371.0
TLS_FAMILY,0.9974226804123711,0.9974226804123711,0.9974226804123711,5044.0
SSH,1.0,0.9989068051380159,0.9994531036368608,7318.0
QUIC,0.9811320754716981,1.0,0.9904761904761905,52.0
VPN,0.9939902483274747,0.9948927477017364,0.9944412932501419,8811.0
TOR,0.7594339622641509,0.7666666666666667,0.7630331753554502,210.0
I2P,0.8111455108359134,0.8317460317460318,0.8213166144200627,315.0
FREENET,0.4857142857142857,0.7083333333333334,0.576271186440678,24.0
ZERONET,0.896551724137931,0.8939828080229226,0.8952654232424677,349.0
accuracy,0.9939781867183223,0.9939781867183223,0.9939781867183223,0.9939781867183223
macro avg,0.8803666397089764,0.90989270634284,0.8927973081537277,47494.0
weighted avg,0.9941375479677965,0.9939781867183223,0.9940461607742882,47494.0
